12:47:21.403232 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 1
12:47:21.407418 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 1
12:47:21.413226 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 2
12:47:21.413362 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 2
12:47:21.423371 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 3
12:47:21.423488 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 3
12:47:21.433516 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 4
12:47:21.433612 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 4
12:47:21.443657 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 5
12:47:21.443735 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 5
12:47:21.453798 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 6
12:47:21.453859 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 6
12:47:21.463937 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 7
12:47:21.463982 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 7
12:47:21.474077 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 8
12:47:21.474105 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 8
12:47:21.484217 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 9
12:47:21.484233 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 9
12:47:21.494358 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 10
12:47:21.494375 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 10
12:47:21.504514 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 11
12:47:21.504529 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 11
12:47:21.514673 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 12
12:47:21.514691 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 12
12:47:21.524827 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 13
12:47:21.524844 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 13
12:47:21.534983 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 14
12:47:21.534997 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 14
12:47:21.545136 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 15
12:47:21.545151 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 15
12:47:21.555290 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 16
12:47:21.555305 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 16
12:47:21.565444 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 17
12:47:21.565457 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 17
12:47:21.575595 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 18
12:47:21.575609 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 18
12:47:21.585753 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 19
12:47:21.585767 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 19
12:47:21.595909 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 20
12:47:21.595923 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 20
12:47:21.606059 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 21
12:47:21.606074 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 21
12:47:21.616219 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 22
12:47:21.616233 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 22
12:47:21.626372 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 23
12:47:21.626386 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 23
12:47:21.636530 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 24
12:47:21.636547 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 24
12:47:21.646683 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 25
12:47:21.646697 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 25
12:47:21.656840 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 26
12:47:21.656854 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 26
12:47:21.667007 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 27
12:47:21.667025 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 27
12:47:21.677166 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 28
12:47:21.677184 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 28
12:47:21.687322 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 29
12:47:21.687337 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 29
12:47:21.697434 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 30
12:47:21.697449 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 30
12:47:21.707578 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 31
12:47:21.707592 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 31
12:47:21.717714 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 32
12:47:21.717729 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 32
12:47:21.727880 , IP , 134.226.40.138.60000 , > , lte , UDP, , length , 492 , 33
12:47:21.727895 , IP , 134.226.40.138.60000 , > , wifi , UDP, , length , 493 , 33
